variant,scenario,rtt_ms,run,sessions,key_samples,key_p50_ms,key_p95_ms,key_p99_ms,first_p50_ms,first_p95_ms,first_p99_ms,idle_payload_Bps_median,active_payload_Bps_median,stalled_disconnected,battle_action_ms
before,starter,225.0,1,1,60,252.25,268.47,269.6,2180.07,2180.07,2180.07,6524,28039,0,
before,starter,225.0,2,1,60,261.82,271.48,279.89,2155.33,2155.33,2155.33,6524,27290,0,
before,starter,225.0,3,1,60,263.79,275.87,279.84,2180.99,2180.99,2180.99,6526,26844,0,
before,starter-local,0,1,1,60,16.64,17.51,18.66,57.12,57.12,57.12,6546,319239,0,
before,starter-local,0,2,1,60,16.79,18.94,19.36,57.89,57.89,57.89,6546,318128,0,
before,starter-local,0,3,1,60,16.24,18.52,19.06,55.92,55.92,55.92,6540,313946,0,
before,movement,0.0,1,1,60,16.72,18.52,18.7,62.94,62.94,62.94,0,22710,0,
before,movement,0.0,2,1,60,16.68,18.59,18.65,61.7,61.7,61.7,0,22668,0,
before,movement,0.0,3,1,60,16.67,18.53,18.88,58.7,58.7,58.7,0,22684,0,
before,movement,225.0,1,1,60,267.17,282.99,284.57,2200.87,2200.87,2200.87,0,1839,0,
before,movement,225.0,2,1,60,266.23,273.64,277.97,2181.03,2181.03,2181.03,0,1838,0,
before,movement,225.0,3,1,60,265.86,271.55,273.07,2203.0,2203.0,2203.0,0,1850,0,
before,battle,0.0,1,2,40,58.38,68.07,79.99,71.29,71.29,71.29,10440,30146,0,18.46
before,battle,0.0,2,2,40,64.08,69.81,89.6,71.88,71.88,71.88,10431,28698,0,17.46
before,battle,0.0,3,2,40,60.53,70.84,77.07,72.97,72.97,72.97,10440,29717,0,15.13
before,battle,225.0,1,2,40,298.7,320.62,332.3,2210.3,2210.3,2210.3,13021,14108,0,260.97
before,battle,225.0,2,2,40,292.83,318.06,338.18,2200.07,2200.07,2200.07,13034,14208,0,272.11
before,battle,225.0,3,2,40,304.48,324.45,330.78,2204.18,2204.18,2204.18,13025,13875,0,254.82
before,isolation,225.0,1,3,30,266.79,271.72,273.24,2225.72,2229.01,2229.01,1016,0,0,
before,isolation,225.0,2,3,30,261.46,271.02,277.42,2192.58,2195.93,2195.93,1009,0,0,
before,isolation,225.0,3,3,30,263.0,270.66,270.83,2210.34,2216.16,2216.16,1015,0,0,
before,first32,0.0,1,32,0,0,0,0,208.07,251.4,257.6,513,0,0,
before,first32,0.0,2,32,0,0,0,0,186.84,227.84,233.43,513,0,0,
